Index,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Clusters
1,157,30,53,-14,11,68,201.0,94,3,4
2,135,79,50,-11,17,81,207.0,17,7,9
3,168,69,66,-9,7,52,341.0,2,17,1
4,173,96,43,-4,3,37,269.0,0,4,1
5,106,82,58,-5,10,87,256.0,1,3,9
6,99,46,54,-9,14,14,247.0,0,2,7
7,102,71,71,-6,13,54,257.0,6,3,2
8,137,96,37,-5,12,21,366.0,0,14,2
9,148,92,36,-4,10,23,223.0,0,8,1
10,112,67,91,-3,24,66,290.0,0,7,9
11,109,5,44,-16,11,31,162.0,88,4,3
12,124,46,74,-8,26,32,232.0,1,8,7
13,102,88,54,-6,53,59,214.0,2,3,5
14,117,93,38,-2,81,40,639.0,18,10,5
15,112,81,65,-5,14,82,173.0,0,3,9
16,133,42,42,-10,16,25,236.0,84,4,4
17,123,90,52,-7,7,36,288.0,0,6,2
18,127,54,38,-5,9,19,276.0,2,3,7
19,87,31,27,-13,63,12,352.0,1,3,7
20,74,65,62,-7,10,56,288.0,57,18,8
21,138,42,21,-9,11,12,296.0,16,3,7
22,142,51,60,-10,11,35,218.0,5,4,7
23,96,89,63,-6,9,81,176.0,5,3,9
24,138,99,51,-3,12,65,197.0,0,9,9
25,112,74,65,-7,23,52,261.0,18,3,2
26,130,48,55,-8,10,18,270.0,48,3,8
27,123,68,53,-4,12,55,298.0,0,4,2
28,148,76,91,-5,8,87,298.0,7,17,9
29,142,24,34,-11,12,19,259.0,92,4,4
30,154,70,68,-10,33,51,306.0,8,3,2
31,146,44,56,-7,11,21,310.0,73,2,4
32,181,59,56,-9,20,68,306.0,32,3,1
33,80,47,62,-6,11,33,211.0,31,3,8
34,88,20,73,-12,7,62,186.0,88,3,3
35,122,87,64,-3,29,45,185.0,49,12,2
36,119,53,68,-12,8,68,264.0,34,4,0
37,156,79,29,-6,8,51,290.0,0,4,1
38,152,81,32,-7,15,12,202.0,8,5,1
39,168,60,58,-6,48,65,263.0,0,5,5
40,72,21,46,-11,11,26,266.0,91,3,3
41,118,82,67,-9,5,78,629.0,3,8,9
42,138,64,71,-10,19,10,177.0,0,9,7
43,105,68,28,-9,14,49,237.0,0,4,2
44,186,99,38,-2,37,77,176.0,0,6,1
45,100,85,58,-5,9,58,197.0,11,3,2
46,168,57,38,-5,35,26,278.0,4,3,1
47,115,46,83,-10,70,88,331.0,48,6,6
48,75,64,37,-6,17,20,355.0,0,3,7
49,131,72,64,-7,14,80,213.0,1,4,9
50,76,77,46,-5,14,35,234.0,1,3,2
51,108,35,47,-11,8,28,216.0,72,3,3
52,194,43,35,-11,10,26,275.0,16,3,1
53,90,26,43,-13,9,27,259.0,95,5,3
54,122,77,30,-3,12,9,467.0,0,3,2
55,149,30,33,-7,11,14,243.0,78,3,4
56,92,76,52,-5,57,63,219.0,42,3,5
57,96,60,53,-6,11,35,305.0,0,2,2
58,123,59,48,-5,18,20,218.0,27,5,7
59,99,70,69,-6,16,48,214.0,22,3,2
60,124,59,47,-8,28,18,236.0,42,3,8
61,132,41,62,-14,10,51,215.0,7,3,0
62,86,56,44,-7,25,70,144.0,35,3,6
63,166,75,70,-9,19,91,195.0,13,10,9
64,176,74,66,-7,22,91,240.0,66,8,6
65,99,87,55,-6,17,54,234.0,1,3,2
66,103,86,63,-7,7,73,357.0,21,5,9
67,92,69,76,-5,57,73,297.0,3,5,5
68,105,73,68,-8,14,94,281.0,11,2,9
69,136,43,28,-7,6,7,219.0,28,3,7
70,81,65,50,-7,33,57,273.0,22,4,2
71,77,18,55,-11,11,9,212.0,89,3,3
72,171,58,51,-5,37,67,279.0,3,6,1
73,183,44,56,-8,12,44,288.0,29,3,1
74,178,68,30,-8,43,77,249.0,83,25,6
75,139,48,52,-8,9,46,247.0,3,3,7
76,131,80,75,-5,42,37,281.0,24,5,2
77,101,24,42,-11,19,30,229.0,82,5,3
78,110,96,43,-4,17,56,186.0,0,4,2
79,104,92,66,-6,61,46,229.0,38,17,5
80,159,67,43,-6,14,38,394.0,9,3,1
81,160,71,50,-8,43,33,375.0,8,5,1
82,88,32,52,-11,9,18,226.0,33,2,7
83,83,25,42,-14,11,21,219.0,84,3,3
84,79,60,56,-7,38,44,210.0,18,3,2
85,105,91,46,-4,36,61,258.0,2,6,2
86,160,85,55,-8,32,46,283.0,2,4,1
87,120,76,70,-5,13,68,210.0,12,6,9
88,100,55,59,-12,11,64,264.0,47,3,6
89,115,67,72,-12,5,65,231.0,6,4,0
90,145,91,38,-4,24,27,266.0,0,9,1
91,110,35,39,-10,11,16,306.0,67,3,3
92,132,55,85,-5,8,81,219.0,15,4,0
93,128,40,40,-9,9,22,240.0,3,3,7
94,130,70,52,-7,13,35,268.0,4,4,2
95,157,93,23,-5,93,28,403.0,29,17,5
96,160,74,27,-5,63,42,321.0,5,4,5
97,106,84,70,-5,12,89,219.0,0,5,9
98,61,13,27,-14,33,18,232.0,94,4,3
99,92,90,50,-7,15,67,275.0,1,6,9
100,112,81,53,-4,16,21,306.0,0,3,2
101,105,86,56,-6,21,40,217.0,1,6,2
102,104,44,29,-7,8,16,207.0,79,3,4
103,136,80,67,-5,6,79,211.0,1,3,9
104,162,62,32,-6,60,36,308.0,3,3,1
105,160,61,36,-6,11,49,237.0,54,4,8
106,93,37,48,-8,12,14,216.0,74,3,3
107,107,79,69,-4,58,75,206.0,6,17,5
108,101,69,62,-7,6,56,208.0,28,3,0
109,103,86,70,-4,10,89,298.0,2,3,9
110,122,49,35,-7,21,21,273.0,47,3,8
111,177,76,58,-6,25,66,201.0,16,12,1
112,94,84,52,-4,10,46,215.0,0,3,2
113,122,74,64,-4,10,36,263.0,27,4,2
114,68,72,60,-4,35,37,242.0,8,3,2
115,171,74,69,-5,36,6,326.0,1,26,1
116,75,67,30,-5,15,68,306.0,3,5,2
117,109,42,35,-8,10,27,199.0,30,3,7
118,123,72,82,-9,36,69,225.0,4,14,9
119,137,72,28,-5,20,17,231.0,1,4,1
120,129,82,53,-7,12,34,231.0,7,4,2
121,193,58,43,-5,19,27,193.0,4,30,1
122,85,76,37,-9,58,64,302.0,22,5,5
123,138,44,46,-9,10,15,294.0,66,3,4
124,79,36,53,-7,9,40,238.0,53,2,8
125,120,60,85,-12,19,87,433.0,6,4,0
126,99,77,65,-7,7,68,236.0,0,23,9
127,130,94,37,-5,19,37,256.0,0,7,2
128,125,41,67,-8,10,50,238.0,84,3,8
129,136,85,58,-6,79,58,302.0,53,5,5
130,126,95,51,-5,30,63,324.0,0,6,2
131,96,64,59,-10,9,49,256.0,9,3,2
132,119,38,52,-9,10,13,270.0,76,4,4
133,165,56,48,-6,18,54,154.0,32,3,1
134,58,40,25,-9,9,11,245.0,45,4,7
135,94,77,37,-6,9,42,248.0,18,7,2
136,103,81,71,-4,7,73,257.0,1,3,9
137,120,56,41,-11,16,16,311.0,1,3,7
138,91,63,67,-12,10,86,245.0,1,5,0
139,128,37,61,-9,11,35,226.0,84,3,4
140,75,92,51,-5,40,31,272.0,1,9,2
141,128,77,74,-6,51,61,289.0,9,3,5
142,139,77,55,-9,13,42,253.0,0,3,2
143,93,77,52,-11,6,93,181.0,14,6,9
144,89,47,86,-9,27,84,184.0,0,5,0
145,115,97,60,-6,13,72,212.0,0,5,9
146,171,20,34,-11,11,30,197.0,76,3,4
147,141,30,71,-12,10,48,203.0,44,3,8
148,173,55,34,-8,12,36,280.0,33,4,1
149,131,72,49,-6,31,87,146.0,39,5,6
150,124,55,50,-7,9,63,196.0,68,3,6
151,96,38,54,-7,8,39,204.0,52,3,8
152,101,78,44,-5,29,19,602.0,1,4,2
153,124,46,56,-7,10,19,245.0,72,3,8
154,121,41,83,-14,5,88,324.0,46,13,6
155,126,17,33,-14,32,19,259.0,86,4,3
156,127,56,61,-6,4,24,297.0,18,3,7
157,97,55,62,-8,30,31,270.0,19,2,7
158,99,48,59,-10,9,15,353.0,64,2,8
159,138,93,55,-4,9,81,189.0,4,4,9
160,136,93,66,-6,70,46,212.0,46,16,5
161,92,57,62,-8,11,34,243.0,10,3,7
162,129,39,59,-14,7,15,423.0,13,6,7
163,129,72,61,-8,36,80,218.0,29,3,9
164,130,32,53,-17,97,46,281.0,53,8,5
165,128,91,60,-4,12,41,305.0,0,8,2
166,79,27,19,-9,13,10,263.0,86,4,3
167,98,69,67,-7,10,83,213.0,6,3,9
168,123,69,69,-5,9,49,212.0,39,3,8
169,104,29,66,-11,11,30,233.0,87,3,3
170,112,8,53,-16,11,31,135.0,92,5,3
171,100,19,48,-15,11,6,141.0,99,5,3
172,110,33,63,-9,11,47,193.0,74,3,8
173,100,63,61,-5,10,33,241.0,43,3,8
174,173,30,32,-13,70,44,264.0,77,3,4
175,80,72,51,-6,6,47,262.0,27,6,2
176,190,76,79,-7,10,49,346.0,3,24,1
177,164,76,50,-8,14,58,248.0,0,3,1
178,92,57,26,-8,11,15,319.0,4,3,7
179,91,59,56,-10,23,48,284.0,28,3,8
180,114,83,42,-5,16,61,501.0,1,4,2
181,98,62,66,-9,7,66,256.0,51,3,6
182,109,78,70,-8,6,39,289.0,9,5,2
183,133,20,34,-14,34,7,287.0,13,3,7
184,115,72,53,-6,11,59,324.0,0,3,2
185,92,95,66,-5,14,52,229.0,13,11,2
186,138,56,74,-10,8,98,170.0,11,4,0
187,159,99,24,-4,83,37,187.0,1,10,5
188,138,55,59,-8,29,50,171.0,0,3,2
189,136,97,41,-4,11,35,218.0,0,5,2
190,120,69,79,-4,14,22,243.0,8,3,2
191,131,71,78,-9,6,61,414.0,46,19,6
192,115,70,73,-8,6,41,252.0,0,3,2
193,105,66,95,-4,5,76,284.0,3,6,9
194,159,64,52,-5,17,32,272.0,39,2,1
195,170,61,45,-7,9,48,209.0,2,3,1
196,112,59,30,-10,63,40,364.0,57,5,5
197,92,38,57,-10,13,53,208.0,85,3,8
198,122,87,55,-4,21,32,240.0,0,3,2
199,147,93,51,-3,9,31,297.0,13,7,2
200,105,44,29,-7,10,45,246.0,91,3,4
201,130,41,61,-9,23,23,223.0,54,3,8
202,138,85,60,-6,6,9,235.0,1,6,2
203,115,61,67,-11,11,67,181.0,41,3,6
204,120,92,67,-4,9,78,212.0,5,4,9
205,166,57,32,-5,11,38,212.0,38,3,1
206,133,81,86,-8,12,85,161.0,31,4,9
207,125,92,52,-7,2,73,234.0,2,5,9
208,170,66,46,-9,33,53,274.0,3,6,1
209,127,66,66,-10,8,84,225.0,12,10,0
210,162,33,56,-11,11,30,236.0,90,3,4
211,170,54,51,-7,9,28,241.0,31,4,1
212,117,75,61,-9,39,97,394.0,1,3,9
213,105,81,55,-5,10,15,286.0,2,3,2
214,91,94,62,-3,17,88,269.0,2,5,9
215,180,66,50,-9,21,89,240.0,33,4,6
216,116,62,49,-7,13,8,269.0,2,3,7
217,129,59,93,-12,11,96,219.0,43,5,6
218,135,75,51,-7,14,28,236.0,0,3,2
219,123,63,65,-7,28,71,172.0,78,3,6
220,80,77,78,-4,52,51,404.0,4,24,5
221,76,57,46,-4,11,10,239.0,58,3,8
222,124,33,76,-10,24,24,246.0,73,3,8
223,142,48,57,-6,10,16,244.0,26,3,7
224,124,46,53,-10,20,22,291.0,8,3,7
225,144,34,64,-11,11,55,251.0,91,3,4
226,144,55,54,-7,13,23,239.0,5,2,7
227,186,87,34,-3,13,27,260.0,8,8,1
228,70,59,43,-6,9,25,259.0,46,3,8
